ID,Shade Number,Original Weight (kg),Program,RC,Dyes,Created At
69c582e090fdc06d61c3c77b,1,12.0,P1,No,Yellow4g: 0.9; Scarlet 3r: 0.13,2026-03-26T19:02:56.877000
69c5871dc6ddf0978c1dca03,2,6.0,P1,No,Yellow 4g: 35.02; Otange rl: 8.43,2026-03-26T19:21:01.466000
69c74b617ac739f543141a45,3,9.25,P1,No,Golden yellow2gd: 175.0,2026-03-28T03:30:41.571000
69c74c217ac739f543141a46,4,12.0,P1,No,Scarlet 3r: 193.0,2026-03-28T03:33:53.064000
69c74c687ac739f543141a47,5,12.0,P1,No,Scarlet 3r: 190.0; Red2b: 70.0,2026-03-28T03:35:04.297000
69c74cc67ac739f543141a49,6,12.0,P1,No,Red2b: 362.4; Scarlet rr: 42.0; Red2bn: 10.8,2026-03-28T03:36:38.104000
69c74d837ac739f543141a4a,7,9.3,P1,No,Yellow brown: 65.0; Scarlet 3r: 3.2; Yellow 4g: 3.2,2026-03-28T03:39:47.738000
69c74dc87ac739f543141a4b,8,12.3,P1,No,Yellow brown: 72.5; Scarlet 3r: 14.0; Yellow4g: 0.9,2026-03-28T03:40:56.147000
69c74df57ac739f543141a4c,9,12.0,P1,No,Red2b: 40.0; Violet 3r: 20.0,2026-03-28T03:41:41.218000
69c74e5e7ac739f543141a4d,11,12.0,P3,No,Red2bn: 55.0; Red2b: 12.0; Navy blue: 0.05; Violet3r: 0.1,2026-03-28T03:43:26.637000
69c74e937ac739f543141a4e,12,12.0,P1,No,Red2b: 46.5; Black emrd: 0.08; Navy blue 3g: 0.08,2026-03-28T03:44:19.759000
69c74eeb7ac739f543141a4f,13,12.5,P3,No,Red2bn: 81.0,2026-03-28T03:45:47.338000
69c74f087ac739f543141a50,14,12.0,P3,No,Red2bn: 290.0,2026-03-28T03:46:16.174000
69c74fc87ac739f543141a51,15,15.0,P3,No,Red2bn: 272.0; Navy blue3g: 1.95; Violet 3r: 1.45,2026-03-28T03:49:28.822000
69c750467ac739f543141a52,16,12.5,P3,No,Blue dbr: 163.0,2026-03-28T03:51:34.848000
69c750677ac739f543141a53,17,12.0,P3,No,Blue sr: 120.0,2026-03-28T03:52:07.269000
69c750df7ac739f543141a54,18,9.3,P3,No,Blue sr: 13.7; Yellow c4g: 0.05,2026-03-28T03:54:07.972000
69c751237ac739f543141a55,19,12.0,P3,No,Blue bg: 195.0; Yellow c4g: 3.6,2026-03-28T03:55:15.532000
69c751777ac739f543141a56,20,12.0,P3,No,Yellow 10gn: 100.0; Blue sr: 20.0,2026-03-28T03:56:39.921000
69c7ade12e926b337b6eb7c3,21,12.0,P3,No,Yellow 10gn: 100.0; Blue sr: 20.0,2026-03-28T10:30:57.215000
69c7ae3d2e926b337b6eb7c4,22,9.5,P1,Yes,Yellow 10gn: 80.0; Yellow 4g: 55.0; Blue 2rx: 70.0; Navy blue 3g: 5.0,2026-03-28T10:32:29.348000
69c7aeb82e926b337b6eb7c5,23,12.0,P3,Yes,Blue bg: 200.0; Yellow c4g: 60.0; Yellow 10gn: 60.0; Navy blue 3g: 80.0,2026-03-28T10:34:32.324000
69c7c6a63d752d819a9e7a89,24,12.0,P3,Yes,Blue bg: 480.0; Yellow 4g: 84.0,2026-03-28T12:16:38.288000
69c7c7163d752d819a9e7a8a,25,9.1,P3,Yes,Green 2b: 200.0; Yellow 10gn: 20.0; Blue gsl: 40.0,2026-03-28T12:18:30.745000
69c7c7843d752d819a9e7a8b,26,12.0,P1,No,Scarlet 3r: 150.0; Red2b: 92.0,2026-03-28T12:20:20.988000
69c7c7e83d752d819a9e7a8c,27,12.0,P1,No,Red2b: 362.0; Scarlet 3r: 33.0; Navy blue: 3.0,2026-03-28T12:22:00.861000
69c7c8bc3d752d819a9e7a8d,28,12.0,P1,No,Red2b: 300.0; Navy blue 3g: 7.5,2026-03-28T12:25:32.411000
69c7c9a53d752d819a9e7a8e,29,12.0,P1,No,Red2b: 180.0; Scarlet rr: 140.0; Navy blue 3g: 28.0,2026-03-28T12:29:25.836000
69c7c9e03d752d819a9e7a8f,30,12.0,P1,No,Scarlet 3r: 200.0; Red2b: 40.0; Navy blue 3g: 5.0; Black emrd: 5.0,2026-03-28T12:30:24.396000
69c7ccd03d752d819a9e7a90,31,12.0,P3,No,Red2bn: 44.0; Scarlet rr: 19.0,2026-03-28T12:42:56.408000
69c7ccf13d752d819a9e7a91,32,15.0,P3,Yes,Blue gsl: 90.0,2026-03-28T12:43:29.336000
69c7cd5d3d752d819a9e7a92,33,9.4,P3,Yes,Pink rbsf: 50.0; Redviolet IFBL: 45.0; Navy blue 3g: 0.4,2026-03-28T12:45:17.730000
69c7cd7f3d752d819a9e7a93,34,12.0,P3,No,Violet3r: 125.0,2026-03-28T12:45:51.540000
69c7cdf03d752d819a9e7a94,35,12.0,P1,Yes,Red2b: 270.0; Brown 3rsf: 60.0; Navy blue 3g: 110.0,2026-03-28T12:47:44.325000
69c7ce4a3d752d819a9e7a95,36,12.0,P3,Yes,Blue bg: 166.0; Yellow c4g: 21.0; Yellow 10gn: 4.1,2026-03-28T12:49:14.023000
69c7d1343d752d819a9e7a96,37,12.0,P3,Yes,Blue gsl: 100.0; Yellow c4g: 38.0; Yellow 10gn: 30.0; Navy blue 3g: 130.0,2026-03-28T13:01:40.610000
69c7d8f74e3621aa9ba65b02,38,12.0,P1,No,Yellow brown: 150.0; Yellow 4g: 25.0; Navy blue 3g: 18.0; Black emrd: 75.0,2026-03-28T13:34:47.358000
